Distinct_name	resident_num	longitude	latitude
福至里	934	117.223727	39.113412
明家庄园	1933	117.311639	39.105093
招商钻石山	2587	117.18855	39.080339
芳水河畔家园	1095	117.280457	39.118173
碧华里	1442	117.148139	39.086007
四季馨园	1943	117.263874	39.070682
建新东里	4845	117.303121	39.096924
盛和家园	2764	117.19288	39.193555
中裕园	757	117.223763	39.103155
林苑西里	1911	117.148854	39.092476
晓星园	814	117.232269	39.105307
恒大绿洲花园	2078	117.479486	39.202582
广泰园	742	117.174347	39.142005
蔚蓝轩	338	117.190047	39.088425
金隅悦城	4908	117.328093	39.113538
久华里	1291	117.14158	39.094411
远洋香奈	1308	117.028101	39.382297
凯立花园	707	117.179453	39.126889
雪莲东里	1451	117.29864	39.149574
谊城公寓	2092	117.214958	39.084144
仕林苑	935	117.291603	39.06325
通达尚城	1559	117.244281	39.087758
三潭东里	2693	117.160563	39.124051
宏城御溪园	1555	117.161039	39.056988
淮盛园	1905	117.198598	39.221654
新城家园	6158	117.708044	39.019176
融创星耀五洲	8938	117.363058	38.907186
喜年广场	2241	117.238839	39.051212
三合里	675	117.204495	39.104481
莹华里	1547	117.147537	39.088797
北宁湾-宁静家园	1495	117.216685	39.18504
津尚花园	956	117.045972	39.069289
新安花园	547	117.196199	39.145041
城南家园	821	117.181296	39.142508
晓镇家园	4864	117.676552	39.054035
天津雅颂居	1282	117.224374	39.133103
世昌里	1104	117.196949	39.122688
阳光星期八昕旺南苑	1605	117.261728	39.141193
宝翠花都瞰景园	2068	117.114332	39.203691
泰达园	858	117.219929	39.110769
太阳城绿萱园	1429	117.285815	39.158967
凤园里	1140	117.154298	39.09376
同方花园	841	117.196864	39.135202
祥和里	1171	117.224078	39.098546
水乡花园	672	117.169246	39.085576
爱国北里	1336	117.224338	39.104271
林苑北里	2134	117.146101	39.095454
晴川花园	693	117.135781	39.134791
悦府家园	721	117.185674	39.141305
太阳城蓝山园	934	117.28334	39.158694
华夏津典畅水园	1165	117.230091	39.062069
府上和平	806	117.206007	39.12156
云广新里	1637	117.244191	39.098899
尚东雅园	1373	117.263424	39.129307
淮祥园	1790	117.199996	39.220736
嘉华里	2139	117.250165	39.135188
靓东花园	1188	117.308463	39.103133
五一阳光尊园	927	117.202481	39.07711
华馨公寓	2004	117.231615	39.1429
航天北里	1290	117.16404	39.108144
紫瑞园	2076	117.126006	39.215858
松江城武台馨苑	2471	117.174904	39.061022
学湖里	2016	117.170918	39.11832
西楼北里	2024	117.223188	39.10831
永基花园	1198	117.174588	39.143656
天江格调花园	963	117.171694	39.137177
凯立天香家园	862	117.163593	39.136093
融侨观邸	955	117.170732	39.133149
万春花园	1013	117.217641	39.151056
迎水南里	393	117.153422	39.098233
御河湾新苑	1797	117.180232	39.160394
海河大观	4014	117.241888	39.106969
鹤望里	1122	117.227375	39.104313
北岸华庭	981	117.214233	39.153421
龙禧园	4298	117.151998	39.166954
海逸长洲恋海园	1330	117.222612	39.059967
惠灵顿河庭花苑	2201	117.186153	39.153875
第六大道陆典庭园	1163	117.275148	39.121987
翠水园	727	117.221996	39.07279
凤园南里	1476	117.15454	39.093473
淦江东里	1088	117.152933	39.107136
远洋万和城	2412	117.231753	39.033004
博朗园	1886	117.174063	39.133253
旭辉御府	3268	117.074437	39.120126
新博园	1730	117.221833	39.152592
金海湾花园	2012	117.277151	39.08043
中国铁建国际城诗景颂苑	2019	117.237795	39.173646
社会山花园二区	560	117.055571	39.064568
欧铂城	2592	117.262829	39.236934
近园里	1180	117.181125	39.103161
汇和家园	843	117.214277	39.146301
首创城	4800	117.345056	39.036313
保利大都会天汇尚苑	669	117.192552	39.137294
三水南里	3476	117.269732	39.063518
新闻里	629	117.208245	39.104093
溪水河畔花园	3840	117.27321	39.167926
裕德里	1020	117.198606	39.139022
万东花园	898	117.266509	39.14863
欣悦佳园	1778	117.295815	39.011247
弘泽印象顺水园	693	117.226719	39.062101
松风东里	2804	117.284666	39.151518
熙景园	959	117.12455	39.214526
第六田园优仕公寓	572	117.237434	39.060174
名都新园	1153	117.24044	39.069023
绮华里	1808	117.142116	39.090427
中交樾公馆	1542	117.047789	39.051366
迎水东里	1013	117.155232	39.099844
博兰苑	970	117.204697	39.078119
爱国里	840	117.225843	39.103281
天津华侨城	4686	117.483891	39.197654
景兴里	1295	117.229285	39.106091
惠康家园	536	117.227711	39.149875
天房美域华庭	1270	117.196819	39.06426
金色家园	963	117.24217	39.143842
旺海公府	1470	117.207117	39.151452
十华里	519	117.13344	39.094152
陶然庭苑	4412	117.304208	39.102314
金冠里	1239	117.14615	39.103172
新都花园	738	117.184517	39.125955
瑞德里	1577	117.170976	39.14367
晴景家园	3008	117.676859	39.056423
怀庆里	1497	117.185325	39.132987
泰来嘉园	1812	117.187754	39.188902
风湖里	2064	117.166613	39.119587
滨海智谛山	2976	117.686485	39.047121
华宁南里	1761	117.146585	39.107501
华亭丽园	2502	117.094328	39.126752
颂禹里	1200	117.170708	39.135491
万科水晶城皓石园	502	117.234678	39.057135
南华里	1437	117.232774	39.110265
心之筑汇颐花园	864	117.187494	39.068281
天津湾海景文苑	1150	117.245336	39.095822
桦林园	867	117.167052	39.146412
瑞益园	2191	117.127643	39.215218
和瑞园	1629	117.179479	39.063904
惠森花园	849	117.222452	39.141904
欣水园	573	117.219776	39.069625
盈润园	1975	117.084665	39.124737
荣庆园	492	117.190427	39.137343
金泰丽舍	4381	117.02782736473	39.371156875196
旭水蓝轩	1889	117.11006	39.124353
阅湖苑	1584	117.511054	39.184268
安德公寓	1799	117.218059	39.109171
益寿里	381	117.20242	39.121023
风采里	3435	117.171652	39.182764
恒大山水城	3344	116.963644	39.490118
台北花园	626	117.17349	39.142305
西园西里	1602	117.20879	39.085436
巨福新园	953	117.223287	39.144765
福东北里	2710	117.31174	39.102321
淮兴园	1326	117.196386	39.223593
伴山人家	4158	117.666387	39.058055
津涞花园	1206	117.19181	39.069891
盛达园	1441	117.163769	39.143809
第六大道大洋嘉园	1359	117.276673	39.120825
谊景村	1539	117.219739	39.089602
富力桃园天域园	1252	117.28097951966	39.039112944709
明筑轩	689	117.187871	39.132931
天津大学新园村	2334	117.165045	39.114395
贻成豪庭	14560	117.663059	39.072559
奥林匹克花园玉兰苑	1248	117.125077	39.204399
紫云庭	1621	117.291065	39.100151
怀远里	930	117.188168	39.131924
兴云里	923	117.169792	39.146356
千吉花园	2535	117.184265	39.157554
欣苑公寓	829	117.156411	39.100991
振河里	1797	117.191999	39.10859
团结东里	2634	117.274571	39.111284
华夏津典川水园	900	117.230086	39.065178
清枫园	1472	117.089049	39.135638
程林里	4454	117.26726	39.133361
雅云里	1309	117.147802	39.14943
福林里	528	117.202006	39.116782
龙博花园	1900	117.278008	39.059965
浩天天娇源	1137	117.165193	39.100634
融科金月湾	1564	117.280153	39.098912
堤北里	1477	117.148728	39.102094
长华里	1400	117.145955	39.090232
园荫北里	1194	117.150721	39.09803
文玥里	2226	117.222712	39.088584
侯台花园	1482	117.122719	39.107066
凤凰城	936	117.193032	39.099661
沽上江南	3999	117.395302	38.999845
半岛豪庭天潇园	937	117.230123	39.058641
新文化花园新景居	448	117.190488	39.130876
金地艺境	2710	117.352104	39.02769
天香水畔花园	906	117.16315	39.143271
邮电公寓	1670	117.183509	39.141158
宁月花园	1625	117.287354	39.11034
云丽园	933	117.287943	39.156398
秋瑞家园	3291	117.113868	39.210592
朝园里	758	117.176667	39.139661
盈江里	1876	117.144093	39.108404
气象南里	2338	117.191394	39.093641
松风西里	2356	117.283348	39.150075
雅境花语城	1886	117.24349	39.05483
森淼清华园	812	117.199596	39.116421
瑞江花园兰苑	950	117.236798	39.071286
萦东温泉花园	2533	117.256422	39.119475
福悦里	2593	117.110898	39.135813
格调艺术领地	1572	117.194724	39.190443
仁爱花园	2490	117.152996	39.162338
心贻湾	2535	117.650582	39.062019
社会山南苑	2199	117.053049	39.052708
广林园	599	117.170704	39.142676
龙德里	1439	117.182375	39.127004
欣荣馨苑	2520	117.235095	39.140655
华润中央公园	1458	117.301637	39.010019
万科城盛锦苑	1136	117.502647	39.186722
天江格调兰庭	382	117.169673	39.13496
保利罗兰公馆	868	117.044294	39.075458
瑞宁嘉园	1378	117.131868	39.214379
同安里(南开区)	1227	117.180261	39.125542
级升里	1600	117.17277	39.14481
东舍宅	1588	117.242358	39.104754
新闻西里	594	117.207607	39.102944
万科金奥国际	1012	117.19957	39.070262
金水畔家园	738	117.224724	39.192586
燕宇花园	2484	117.116602	39.131237
阳光晶典	1240	117.192188	39.143844
生昌里	798	117.206152	39.102048
同心嘉园	732	117.290411	39.105086
宸欣家园	1735	117.199007	39.215847
兴河里	1328	117.190199	39.108305
溪秀苑翠溪园	1993	117.099224	39.131139
恒益隆庭	1566	117.105286	39.036281
恋日风景	928	117.253828	39.145558
名都公寓	1359	117.237983	39.078203
先春园泉春里	1352	117.172787	39.153232
迎水西里	928	117.152067	39.099339
书香园	755	117.182519	39.125136
来安里	3233	117.25448	39.131839
春华里	2894	117.221705	39.147265
凯兴天宝公寓	1131	117.168251	39.137947
卫安北里	1485	117.178263	39.146831
碧波园	696	117.239148	39.114695
万科都市花园	784	117.191436	39.117047
昆俞家园	2160	117.291833	39.1718
龙滨园	519	117.165306	39.084638
科海里	644	117.158469	39.097701
益华里	3132	117.39450206323	38.982614766366
云华里	1220	117.151727	39.082117
懿德园	1337	117.255262	39.129838
瑞江花园梅苑	1003	117.236888	39.074157
湛江路新村	591	117.208342	39.109926
燕园里	794	117.152632	39.101653
世纪梧桐公寓	984	117.229382	39.067797
大悦公寓	1174	117.186035	39.139001
祥瑞家园	912	117.247847	39.152099
卫安南里	715	117.177172	39.144225
瑞金里	2489	117.2389	39.152938
宝聚家园	880	117.285486	39.055811
万科民和巷	4264	117.335719	39.095769
弘丽园	2201	117.163378	39.155001
光湖里	1142	117.169275	39.117998
荣迁东里	1267	117.162835	39.106961
宾水里	1638	117.190069	39.083339
河海花园	1505	117.187786	39.162741
瑞海大厦	416	117.205824	39.145873
华城领秀万华里	1738	117.164837	39.147657
泰悦豪庭	548	117.238295	39.111238
恋日风尚	716	117.252452	39.146859
南开大学西南村	3384	117.172276	39.107164
大地十二城枫桥园	1602	117.090206	39.133966
宝翠花都听景园	1010	117.120402	39.204728
格调竹境	1579	117.28146383556	39.109009076322
利海家园	1272	117.134888	39.107031
瑞丽园	978	117.14081	39.113841
风荷园	1205	117.163793	39.125584
贻成泰和新都	2430	117.663331	38.996362
金淼园	506	117.162283	39.078462
荣迁西里	1084	117.160739	39.107346
丹荔园	986	117.290318	39.160743
依润园	1008	117.090225	39.124633
红磡领世郡普雅花园	2444	117.278731	39.029968
融创星美御	565	117.194693	39.116466
竹华里	1354	117.150602	39.081256
名仕达花园	908	117.237887	39.104099
意境兰庭	2133	117.43191	39.161632
汇川家园	758	117.194015	39.179526
万科新里程花园	995	117.41292	39.152628
彩虹花园	557	117.169922	39.079988
宾水南里	1925	117.19939	39.087529
瑞江花园竹苑	1014	117.234049	39.074146
千禧园东区	3163	117.147848	39.16172
第六田园优仕庭园	1151	117.234663	39.062292
尚品嘉园	289	117.225335	39.116995
新梅江锦秀里	1572	117.24402	39.049928
尚友里	306	117.204104	39.121012
纯真里	2264	117.226953	39.085149
紫光苑	983	117.186975	39.13454
广厦富城	3499	117.65259761805	39.068747627751
晨星园	474	117.234345	39.104999
照湖里	891	117.166281	39.117086
嘉华新苑	754	117.247191	39.135573
小镇西西里瑞安里	957	117.116997	39.03703
先春园世春里	1756	117.169542	39.155841
隆达新苑	1763	117.243925	39.170053
怡园里	711	117.133733	39.153029
红波里	1593	117.220997	39.103445
昆裕里	949	117.18421	39.134897
天房美域兰庭	747	117.197087	39.064821
南京路	1260	117.220233	39.122328
先春园隆春里	1943	117.170397	39.154274
华荫东里	216	117.203565	39.121484
芳竹花园	667	117.213911	39.082656
儒林园	809	117.262921	39.05302
中盛里	2682	117.184919	39.064169
三义大厦	1439	117.224343	39.116123
万科金奥广场	1613	117.199253	39.071824
明华里	1471	117.161478	39.151434
盈江东里	1110	117.142656	39.105555
绿岛家园	2500	117.15498	39.21494
华城领秀睦华里	992	117.161834	39.149186
尚北园	3479	117.664791	39.068904
复兴门家园	593	117.269189	39.083073
天津全运村	6193	117.26511629392	39.049132630059
朝华园	1001	117.251647	39.152047
凤玉里	472	117.171658	39.138688
金泰丽湾	3046	117.378943	39.170835
宾水东里	1558	117.196907	39.089972
信昌大楼	1112	117.227984	39.109082
梅江康城	2430	117.230603	39.03423
云水园	592	117.225982	39.058179
雅仕兰庭	2848	117.277044	39.095482
滨河家园	1194	117.260791	39.092514
富力津门湖云舒花园	1296	117.210238	39.060303
摩卡假日	1034	117.044156	39.072795
庆有西里	886	117.193881	39.134586
积庆里	403	117.222085	39.114051
宝翠花都探景园	1008	117.115446	39.202698
复康里	1116	117.182428	39.104988
祺林园	1166	117.263767	39.055786
中央公馆	432	117.199027	39.106094
天房崇德园	436	117.161637	39.093949
红磡花园	516	117.181594	39.126619
雅致里	2021	117.287574	39.072314
鹤园北里	858	117.146252	39.094831
世纪花园(南开区)	647	117.186915	39.137661
嘉泰花园	267	117.160387	39.102405
博轩园	467	117.231376	39.108142
金波里	1818	117.21068	39.160238
奕聪花园	872	117.172745	39.079988
顺通家园	1705	117.107778	39.146902
瑞江花园菊苑	1067	117.233793	39.07146
水木天成临湾园	1527	117.142688	39.168143
桂荷园	1226	117.153307	39.122862
宜清花园	1261	117.217318	39.19568
润风家园	1110	117.315895	39.109782
佳怡公寓	1601	117.187724	39.11585
万科魅力之城格兰苑	948	117.366939	39.089405
寿园里	1301	117.207831	39.082975
君悦花苑	1232	117.048352	39.055148
万科城市花园	1146	117.239589	39.158491
海逸长洲瀚波园	853	117.217034	39.063014
昆俞欣园	2026	117.295417	39.170958
清霖园	535	117.279879	39.156442
水木天成阁林园	1940	117.14191	39.165839
福嘉园	1380	117.196642	39.174205
万隆花园	4427	117.289977	39.12867
广云花园	343	117.17048	39.139598
静安里(河西区)	437	117.208451	39.108648
环湖东里	1620	117.193172	39.091323
水岸公馆天浦园	724	117.232099	39.051706
万兴花园	419	117.272564	39.150951
琴海公寓	920	117.207363	39.149273
天赐园	610	117.188029	39.125197
香榭里	877	117.190451	39.118058
米兰阳光	2570	117.39371832742	39.00436184749
云锦世家观锦园	104	117.077864	39.118754
金地格林世界梧桐苑B区	861	117.320699	39.055787
卫安中里	1082	117.178153	39.146097
畅景家园	672	117.163378	39.184627
天兴里	863	117.196545	39.120186
格调故里	267	117.173801	39.138878
新城市花园	456	117.181645	39.085646
崇仁里	434	117.20913	39.126068
泉富家园	666	117.15988	39.1829
景园里	2167	117.119995	39.134078
东莱里	578	117.228154	39.117718
昌宁南里	1151	117.150267	39.109803
康华里	1753	117.16524	39.151476
延生里	922	117.1827	39.131216
中山门南里	1604	117.272218	39.107694
海景公寓	518	117.246682	39.100669
渤海天易园	4339	117.22931	39.001341
珑著	2026	117.119671	39.210815
宁乐里	1239	117.184027	39.092955
花园伍座轩	477	117.234363	39.100905
珠波里	737	117.218338	39.10424
米兰东湖湾	793	117.490431	39.191286
颂禹西里	540	117.168817	39.134561
紫云园	2778	117.707376	39.016181
盛海公寓	1109	117.210239	39.152599
河通花园	729	117.162917	39.157701
植园里	480	117.161307	39.103042
天涛园	1147	117.232521	39.04945
纪明家园	1284	117.200741	39.072104
滨河庭苑	1156	117.25924	39.092374
城市之光星光园	288	117.21997	39.146884
怡林园	1051	117.262083	39.055289
艺术家园	2496	117.130154	39.203281
博林园	972	117.266025	39.05288
洛卡小镇	1473	117.221559	39.033648
悦盛园	1140	117.409119	39.068883
华富家园南区	2136	117.4346603331	39.175697664774
新尚园	1875	117.299616	39.016177
神州花园	1206	117.247142	39.109033
桂江里(河西区)	3305	117.270951	39.058406
社会山北苑	680	117.053939	39.066387
富力津门湖景尚嘉郡	1626	117.206558	39.066403
和静家园	1536	117.266287	39.119118
金宇里	730	117.149191	39.105832
泾水园	1002	117.136851	39.139066
第六大道道俊华园	779	117.277636	39.121931
银行里	653	117.190615	39.115581
嘉春园	4593	117.306291	39.113335
世茂鲲玺园	1597	117.747497	39.117369
长安里	519	117.212648	39.108032
卓越浅水湾	1835	117.230486	39.130888
望园里	504	117.180661	39.103441
保利上河雅苑南区	4957	117.039893	39.382665
宝庆里	1614	117.047507	39.06631
第六田园优仕家园	765	117.234714	39.059243
金禧园	528	117.167513	39.077412
育贤里	2306	117.195548	39.084869
瑞盈园	1536	117.12636	39.211665
康桥里	2634	117.242067	39.180771
宸宜花园	1844	117.200751	39.213286
滨海欣嘉园	3537	117.63926	39.131223
亚中花园	368	117.212808	39.106095
丰盛园	2111	117.242044	39.122426
秋丽家园	3300	117.302742	39.129325
临池里	2542	117.259438	39.147195
鲁能公馆	512	117.184044	39.099618
美宁公寓	789	117.245075	39.101733
靓锦名居	1274	117.256408	39.122971
正荣润璟湾	2122	117.084602	39.141704
宜宾东里	1687	117.152581	39.133203
福雅花园	1355	117.111032	39.129243
恩德西里	1254	117.215906	39.104904
亿城堂庭	1870	117.160036	39.180013
居祥里	825	117.185331	39.097085
华荫南里	216	117.204046	39.120162
晶品轩	838	117.2623	39.125255
卫华里	1271	117.188327	39.108658
保利金融街诺丁山	2040	117.042004	39.05524
万维花园	387	117.163051	39.126365
星河荣御	935	117.040347	39.081316
蓝庭国际	2930	117.37258	39.090729
凌奥花园	1199	117.180528	39.070066
文善里	510	117.199131	39.121623
广顺园	819	117.221047	39.107339
熙汇广场	1922	117.128816	39.142579
宾水北里	1596	117.194485	39.088642
远洋五矿旷世新城	1572	117.230037	39.208104
临潼西里	1353	117.150681	39.14574
大通时尚花园	1226	117.254604	39.139091
昌海公寓	875	117.211397	39.152714
紫来花园	502	117.178656	39.124128
丰盈里	1850	117.24093	39.124798
秋怡家园	2448	117.192164	39.222629
俊城橡树原	724	117.239376	39.042653
友谊公寓	663	117.214434	39.098331
恒大绿洲馨园	1453	117.478318	39.20486
雅园里	937	117.147371	39.150606
凤岐里	2200	117.278641	39.145329
久仰里	528	117.227296	39.114611
第六大道俊东公寓	695	117.276204	39.123023
沱江里	1226	117.154642	39.130271
濠景国际	427	117.182932	39.075528
中粮大道	1490	117.22883	39.130462
凯德国贸	1391	117.223143	39.119804
华江里	4344	117.265283	39.061618
鲲栖府	1690	117.412031	39.17338
水西园	1214	117.165633	39.153896
北宁湾-致远家园	955	117.218571	39.189948
巨福公寓	720	117.222222	39.148699
松寿里	489	117.20992	39.125099
朗月轩	1540	117.736334	39.025787
昆璞里	1541	117.213807	39.165905
金秋新苑	1888	117.290743	39.013738
玉泉里	690	117.176307	39.122344
富力华庭	210	117.18129	39.148105
香雪苑	1819	117.290112	39.023864
朗庭园	1016	117.192023	39.064891
国耀上河城	2899	117.107719	39.270693
紫芥园	918	117.163729	39.153925
冶金里	1274	117.136235	39.149406
英俊名邸	576	117.167269	39.131627
首创溪堤郡	1343	117.429474	39.169723
观景里	624	117.156686	39.09579
爱家星河花园	1256	117.230936	39.167814
中国铁建国际城诗景雅苑	910	117.237439	39.175401
富力津门湖鸣泉花园	1083	117.2112	39.063097
中发里	1085	117.184059	39.064646
福熙园	343	117.244137	39.101068
香邑国际	1988	117.310756	39.144114
阳光金地	450	117.660886	39.03422
双街新家园	2376	117.113761	39.267918
名居花园	1514	117.411062	39.155768
融创中心实泽园	791	117.154668	39.116022
中信·珺台碧和园	693	117.117989	39.110902
盛泰嘉园	1418	117.188614	39.188357
卡梅尔天淳园	484	117.235962	39.045024
华远波士顿	2472	117.34706295414	39.039508811805
东丽湖万科城阅桦苑	786	117.511279	39.185169
水木天成闻涛园	1784	117.135954	39.165539
金隅满堂	1495	117.099477	39.125801
幸福北里	774	117.159956	39.146856
滨海航天城	2592	117.542352	39.129067
世升花园	197	117.202442	39.117879
淮和园	890	117.201254	39.217236
友爱南里	3232	117.269864	39.109174
鸿基公寓	829	117.208659	39.154949
义兴南里	1605	117.174243	39.12617
碧轩园	846	117.121137	39.10897
翠薇园	396	117.170551	39.102818
天津中心	779	117.200032	39.125248
万科新梅江柏翠园	1063	117.246967	39.044183
宝龙城	5617	117.772148	39.103056
景阳里	485	117.19538	39.122925
雪莲西里	478	117.295106	39.149741
贻锦台	2216	117.656588	39.069128
新津国际	2162	117.102032	39.110958
森淼公寓	586	117.198339	39.106003
龙井里	1242	117.166633	39.12121
敬贤里	1231	117.224666	39.190804
义兴里	1362	117.173021	39.1284
大地十二城枫香园	1084	117.084935	39.131966
倚虹中里	1494	117.287253	39.145209
福泽温泉公寓	1205	117.245135	39.117683
罗江西里	1410	117.149416	39.131419
舒畅欣园	1639	117.304256	39.113832
天籁湾	104	117.040107	39.173198
复元里	363	117.196774	39.121449
同发里(和平区)	1274	117.194146	39.112534
东亚风尚国际	2346	117.229712	39.139528
通达新苑	1885	117.24655256548	39.167746654171
禧顺花园	1065	117.150044	39.125325
怡然庭苑	506	117.304533	39.103735
华城领秀怡和家园	485	117.160738	39.151106
东海云天	1032	117.714415	39.019915
德信园	594	117.297895	39.06202
天大北五村	1785	117.18155916733	39.121127952107
好美嘉园	2796	117.303353	39.117534
金泉里	611	117.198022	39.108158
国风星苑	1983	117.202764	39.069275
融科瀚棠	1242	117.721419	39.042658
揽城苑	2089	117.518926	39.185071
映日嘉园	681	117.300065	39.104397
观湖苑	768	117.518107	39.183967
存诚里	407	117.225037	39.114247
公园北里	173	117.176539	39.140357
雅安西里	1715	117.141461	39.128086
